date,commodity,dollar_sales,units,time_of_transaction
2020-01-01,pancake mixes,1.919664268585132,1.1366906474820144,1450.9544364508392
2020-01-01,pasta,1.2192711621233858,1.1690100430416068,1530.2410329985653
2020-01-01,pasta sauce,2.318129175946548,1.1243504083147735,1555.187082405345
2020-01-01,syrups,2.614264069264069,1.051948051948052,1477.590909090909
2020-01-02,pancake mixes,1.8568421052631578,1.138157894736842,1580.6052631578948
2020-01-02,pasta,1.226663258350375,1.1895023858214042,1601.3176550783912
2020-01-02,pasta sauce,2.370785862785863,1.1505197505197504,1636.5338877338877
2020-01-02,syrups,2.6087845303867403,1.0497237569060773,1589.9240331491712
2020-01-03,pancake mixes,1.8977777777777778,1.1326164874551972,1582.5089605734768
2020-01-03,pasta,1.2693747572815532,1.217864077669903,1573.830291262136
2020-01-03,pasta sauce,2.336561320754717,1.1523584905660378,1619.3023584905661
2020-01-03,syrups,2.5784663536776216,1.0391236306729263,1560.5978090766823
2020-01-04,pancake mixes,1.8719867549668876,1.1258278145695364,1531.8211920529802
2020-01-04,pasta,1.2469710635099587,1.2010522360015032,1569.250281848929
2020-01-04,pasta sauce,2.3505657568238214,1.1573200992555832,1611.5186104218362
2020-01-04,syrups,2.5526030927835053,1.0463917525773196,1559.9149484536083
2020-01-05,pancake mixes,1.7685283018867926,1.0830188679245283,1514.0037735849057
2020-01-05,pasta,1.253520772135963,1.2152748636172892,1588.7906000839278
2020-01-05,pasta sauce,2.302454394693201,1.1337755666113876,1612.7816473189607
2020-01-05,syrups,2.57167916041979,1.0599700149925038,1538.2608695652175
2020-01-06,pancake mixes,1.7419430051813471,1.1476683937823835,1606.018134715026
2020-01-06,pasta,1.2534858734580183,1.1953840031834462,1581.1790688420215
2020-01-06,pasta sauce,2.3130910070005384,1.1615508885298869,1588.262789445342
2020-01-06,syrups,2.606131025957973,1.0605686032138442,1587.6501854140915
2020-01-07,pancake mixes,1.754622030237581,1.08207343412527,1511.319654427646
2020-01-07,pasta,1.2507310549777118,1.1943536404160475,1533.0841010401189
2020-01-07,pasta sauce,2.3733619579218552,1.166595105195363,1547.5830828681837
2020-01-07,syrups,2.5263454198473285,1.0524809160305344,1516.824427480916
2020-01-15,pancake mixes,1.9362773722627735,1.0900243309002433,1418.8394160583941
2020-01-15,pasta,1.2868468199462526,1.1845326963272618,1529.9208719020603
2020-01-15,pasta sauce,2.3955175038051753,1.1544901065449011,1557.2469558599696
2020-01-15,syrups,2.5658674033149174,1.0386740331491713,1473.2165745856353
2020-01-16,pancake mixes,1.8378113207547169,1.1018867924528302,1565.777358490566
2020-01-16,pasta,1.27651269393512,1.1703102961918195,1593.3804654442877
2020-01-16,pasta sauce,2.366276008492569,1.1397027600849257,1623.611889596603
2020-01-16,syrups,2.527481804949054,1.0451237263464337,1577.783114992722
2020-01-17,pancake mixes,1.8770610687022902,1.118320610687023,1564.6335877862596
2020-01-17,pasta,1.2574898621248984,1.14882400648824,1579.3175182481752
2020-01-17,pasta sauce,2.3430045523520486,1.1451694486595851,1608.8320687910975
2020-01-17,syrups,2.6142662632375187,1.0953101361573374,1556.9198184568836
2020-01-18,pancake mixes,1.8352063492063493,1.1396825396825396,1553.9492063492064
2020-01-18,pasta,1.2775057559478127,1.1807367613200308,1575.5832693783577
2020-01-18,pasta sauce,2.3736663568773233,1.1486988847583643,1592.5120817843865
2020-01-18,syrups,2.576991404011461,1.0386819484240688,1533.39111747851
2020-01-19,pancake mixes,1.8060841423948222,1.103559870550162,1571.1812297734627
2020-01-19,pasta,1.2737673879443585,1.1750386398763524,1587.7140649149924
2020-01-19,pasta sauce,2.349306102362205,1.1653543307086613,1610.6200787401574
2020-01-19,syrups,2.4880623306233063,1.070460704607046,1540.1327913279133
2020-01-20,pancake mixes,1.9242384105960264,1.1324503311258278,1583.141280353201
2020-01-20,pasta,1.252619718309859,1.1781690140845071,1573.4355633802818
2020-01-20,pasta sauce,2.333109058927001,1.1921723834652596,1577.5259454705365
2020-01-20,syrups,2.5949789473684213,1.0705263157894738,1579.5873684210526
2020-01-21,pancake mixes,1.8667729831144466,1.1181988742964353,1525.46904315197
