date,commodity,dollar_sales,units,time_of_transaction
2020-01-01,pancake mixes,800.5,474,605048
2020-01-01,pasta,4249.16,4074,5332890
2020-01-01,pasta sauce,6245.04,3029,4189674
2020-01-01,syrups,2415.58,972,1365294
2020-01-02,pancake mixes,564.48,346,480504
2020-01-02,pasta,3599.03,3490,4698266
2020-01-02,pasta sauce,5701.74,2767,3935864
2020-01-02,syrups,1888.76,760,1151105
2020-01-03,pancake mixes,529.48,316,441520
2020-01-03,pasta,3268.64,3136,4052613
2020-01-03,pasta sauce,4953.51,2443,3432921
2020-01-03,syrups,1647.64,664,997222
2020-01-04,pancake mixes,565.34,340,462610
2020-01-04,pasta,3318.19,3196,4175775
2020-01-04,pasta sauce,4736.39,2332,3247210
2020-01-04,syrups,1980.82,812,1210494
2020-01-05,pancake mixes,468.66,287,401211
2020-01-05,pasta,2987.14,2896,3786088
2020-01-05,pasta sauce,4165.14,2051,2917522
2020-01-05,syrups,1715.31,707,1026020
2020-01-06,pancake mixes,672.39,443,619923
2020-01-06,pasta,3150.01,3004,3973503
2020-01-06,pasta sauce,4295.41,2157,2949404
2020-01-06,syrups,2108.36,858,1284409
2020-01-07,pancake mixes,812.39,501,699741
2020-01-07,pasta,4208.71,4019,5158828
2020-01-07,pasta sauce,5527.56,2717,3604321
2020-01-07,syrups,2647.61,1103,1589632
2020-01-15,pancake mixes,795.81,448,583143
2020-01-15,pasta,4309.65,3967,5123705
2020-01-15,pasta sauce,6295.42,3034,4092445
2020-01-15,syrups,2322.11,940,1333261
2020-01-16,pancake mixes,487.02,292,414931
2020-01-16,pasta,3620.19,3319,4518827
2020-01-16,pasta sauce,5572.58,2684,3823606
2020-01-16,syrups,1736.38,718,1083937
2020-01-17,pancake mixes,491.79,293,409934
2020-01-17,pasta,3100.97,2833,3894597
2020-01-17,pasta sauce,4632.12,2264,3180661
2020-01-17,syrups,1728.03,724,1029124
2020-01-18,pancake mixes,578.09,359,489494
2020-01-18,pasta,3329.18,3077,4105970
2020-01-18,pasta sauce,5108.13,2472,3427086
2020-01-18,syrups,1798.74,725,1070307
2020-01-19,pancake mixes,558.08,341,485495
2020-01-19,pasta,3296.5099999999998,3041,4109004
2020-01-19,pasta sauce,4773.79,2368,3272780
2020-01-19,syrups,1836.19,790,1136618
2020-01-20,pancake mixes,871.68,513,717163
2020-01-20,pasta,3557.44,3346,4468557
2020-01-20,pasta sauce,5305.49,2711,3587294
2020-01-20,syrups,2465.23,1017,1500608
2020-01-21,pancake mixes,994.99,596,813075
2020-01-21,pasta,4973.39,4758,6013654
2020-01-21,pasta sauce,7497.32,3876,4998699
2020-01-21,syrups,3203.67,1314,1874735
2020-01-29,pancake mixes,936.4399999999999,575,759089
2020-01-29,pasta,4945.1,5161,6232186
2020-01-29,pasta sauce,8106.78,4460,5781180
2020-01-29,syrups,2883.5,1205,1722374
2020-01-30,pancake mixes,621.26,374,508507
2020-01-30,pasta,4007.58,4270,5289012
2020-01-30,pasta sauce,6678.31,3724,4995817
2020-01-30,syrups,2304.79,924,1386021
2020-01-31,pancake mixes,507.05,302,436412
2020-01-31,pasta,3402.6,3568,4372868
2020-01-31,pasta sauce,5560.3,3067,4169208
2020-01-31,syrups,1733.76,754,1109391
2020-02-01,pancake mixes,883.12,520,741024
2020-02-01,pasta,4649.29,4919,5794069
2020-02-01,pasta sauce,7296.68,4112,5245805
2020-02-01,syrups,3004.02,1254,1758986
2020-02-02,pancake mixes,590.57,357,496324
2020-02-02,pasta,3217.53,3391,4184541
2020-02-02,pasta sauce,5073.77,2864,3679682
2020-02-02,syrups,1797.21,775,1137221
2020-02-03,pancake mixes,787.78,478,704852
2020-02-03,pasta,3716.61,4065,4714106
2020-02-03,pasta sauce,5622.53,3196,4174045
2020-02-03,syrups,2434.81,1023,1541779
2020-02-04,pancake mixes,1012.43,623,820716
2020-02-04,pasta,4874.97,5234,6067753
2020-02-04,pasta sauce,7487.36,4222,5333794
2020-02-04,syrups,3024.63,1308,1866105
2020-02-12,pancake mixes,920.77,544,707360
2020-02-12,pasta,5195.46,5614,6596380
2020-02-12,pasta sauce,8100.11,4576,6016481
2020-02-12,syrups,2951.27,1214,1683940
2020-02-13,pancake mixes,672.27,396,536438
2020-02-13,pasta,4056.53,4283,5248304
2020-02-13,pasta sauce,6596.72,3725,5030010
2020-02-13,syrups,2090.79,847,1279259
2020-02-14,pancake mixes,482.88,285,406290
2020-02-14,pasta,3652.46,3892,4695936
2020-02-14,pasta sauce,5736.93,3220,4252559
2020-02-14,syrups,1780.78,743,1097142
2020-02-15,pancake mixes,571.87,347,489305
2020-02-15,pasta,3890.71,4202,4939305
2020-02-15,pasta sauce,6097.81,3416,4404130
2020-02-15,syrups,2021.96,838,1241268
2020-02-16,pancake mixes,608.22,363,488057
2020-02-16,pasta,3319.45,3573,4258643
2020-02-16,pasta sauce,5239.29,2967,3790872
2020-02-16,syrups,1907.61,805,1187979
2020-02-17,pancake mixes,673.89,415,595234
2020-02-17,pasta,3727.28,4004,4776402
2020-02-17,pasta sauce,5671.6,3272,4300774
2020-02-17,syrups,2063.17,871,1310092
2020-02-18,pancake mixes,902.38,545,716763
2020-02-18,pasta,4970.23,5304,6183214
